text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
g0ddamned,damn,religious offense,1.6,Strong,g0ddamned
carpet muncher,carpet muncher,sexual anatomy / sexual acts,2.4,Strong,carpetmuncher
pigfuckers,fuck,sexual anatomy / sexual acts,3.0,Severe,pigfuckers
fukkers,fuck,sexual anatomy / sexual acts,2.0,Strong,fukkers
n1gg@,nigger,racial / ethnic slurs,3.0,Severe,n1gg@
trashb1tch,bitch,sexual orientation / gender,1.8,Strong,trashb1tch
motherfuccers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuccers
shit-stuffers,shit,sexual anatomy / sexual acts,1.8,Strong,shit-stuffers
sons of bitches,bitch,other / general insult,1.6,Strong,sonsbitches
douche canoe,douche,sexual anatomy / sexual acts,1.4,Mild,douchecanoe
reacharound,reacharound,sexual anatomy / sexual acts,1.2,Mild,reacharound
fuck your,fuck,sexual anatomy / sexual acts,2.4,Strong,fuck
niggas,nigger,racial / ethnic slurs,2.8,Severe,niggas
fudgefucker,fudge packer,sexual anatomy / sexual acts,3.0,Severe,fudgefucker
trousersnake,trousersnake,sexual anatomy / sexual acts,1.4,Mild,trousersnake
cocks,cock,sexual anatomy / sexual acts,1.6,Strong,cocks
pig fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,pigfucker
cocksucks,cock,sexual anatomy / sexual acts,2.2,Strong,cocksucks
